CHROM	bp	cM
chr3	2919216	15.280
chr3	2919585	15.282
chr3	2919593	15.282
chr3	2974240	16.113
chr3	2974273	16.114
chr3	2975419	16.120
chr3	2975449	16.120
chr3	3095949	16.418
chr3	3096372	16.418
chr3	3113417	16.717
chr3	3118281	16.717
chr3	3167953	17.015
chr3	3168310	17.015
chr3	3240717	17.314
chr3	3462676	17.314
chr3	3478050	17.612
chr3	3644738	17.612
chr3	3693034	17.911
chr3	3693160	17.911
chr3	3850223	18.169
chr3	3875075	18.679
chr3	3876031	18.698
chr3	3889683	19.254
chr3	3889909	19.259
chr3	3897565	19.423
chr3	3938460	19.826
chr3	3953774	19.865
chr3	4006583	20.299
chr3	4007832	20.299
chr3	4017965	20.598
chr3	4018015	20.598
chr3	4024296	20.896
chr3	4024586	20.896
chr3	4024634	20.897
chr3	4082902	22.090
chr3	4082906	22.090
chr3	4094454	22.200
chr3	4110218	22.649
chr3	4114170	22.687
chr3	4117475	22.687
chr3	4208970	22.986
chr3	4217006	22.986
chr3	4336221	23.762
chr3	4369584	24.278
chr3	4400398	24.764
chr3	4400406	24.765
chr3	4401716	24.780
chr3	4506415	25.075
chr3	4506848	25.075
chr3	4578557	25.374
chr3	4654727	25.374
chr3	4663902	25.498
chr3	4698630	26.190
chr3	4758559	26.568
chr3	4765647	26.568
chr3	4821667	26.779
chr3	4924158	28.301
chr3	4956279	28.657
chr3	5062812	28.657
chr3	5062842	28.657
chr3	5134246	29.128
chr3	5186520	29.254
chr3	5186776	29.258
chr3	5247371	30.150
chr3	5263875	30.150
chr3	5263945	30.151
chr3	5308732	30.947
chr3	5317575	31.045
chr3	5372383	31.045
chr3	5395429	31.344
chr3	5551095	31.344
chr3	5579621	31.642
chr3	5738735	31.642
chr3	5801111	31.941
chr3	5816483	31.941
chr3	5866286	32.239
chr3	5878930	32.239
chr3	5890899	32.326
chr3	5961182	33.433
chr3	5961262	33.434
chr3	5972067	33.434
chr3	6058289	33.732
chr3	6116951	33.732
chr3	6126897	33.755
chr3	6185460	34.188
chr3	6246831	34.329
chr3	6323571	34.329
chr3	6323947	34.331
chr3	6367361	34.803
chr3	6398240	34.926
chr3	6545818	34.926
chr3	6546112	34.928
chr3	6590877	35.522
chr3	6591025	35.523
chr3	6591084	35.523
chr3	6633913	36.120
chr3	6836414	36.120
chr3	6853132	36.163
chr3	6853570	36.166
chr3	6923565	36.869
chr3	6946882	37.004
chr3	6951532	37.016
chr3	6964625	37.016
chr3	7071740	37.663
chr3	7112753	38.055
chr3	7157020	38.210
chr3	7157210	38.210
chr3	7195738	38.508
chr3	7224564	38.508
chr3	7243215	38.567
chr3	7290489	39.016
chr3	7318781	39.105
chr3	7319381	39.105
chr3	7421407	39.404
chr3	7561932	39.404
chr3	7587633	39.702
chr3	7689236	39.702
chr3	7737143	40.001
chr3	7847029	40.001
chr3	7892948	41.493
chr3	7906115	41.493
chr3	7947382	41.792
chr3	8141975	41.792
chr3	8142457	41.802
chr3	8156524	42.201
chr3	8180280	42.389
chr3	8344846	42.389
chr3	8375656	42.687
chr3	8375794	42.687
chr3	8393287	42.986
chr3	8428969	42.986
chr3	8486776	43.583
chr3	8593955	43.583
chr3	8593977	43.583
chr3	8635836	44.969
chr3	8644715	45.073
chr3	8644957	45.080
chr3	8689488	45.971
chr3	8701875	45.971
chr3	8749379	46.269
chr3	8749500	46.269
chr3	8749535	46.270
chr3	8813868	47.490
chr3	8838241	47.839
chr3	8838613	47.842
chr3	8872562	48.399
chr3	8906635	48.658
chr3	8906737	48.658
chr3	8962243	48.800
chr3	8982128	49.150
chr3	9022766	49.255
chr3	9031616	49.255
chr3	9068939	49.553
chr3	9069281	49.553
chr3	9084538	49.852
chr3	9222231	49.852
chr3	9271274	50.150
chr3	9404287	50.150
chr3	9482216	50.449
chr3	9613439	50.449
chr3	9621111	50.575
chr3	9650908	51.363
chr3	9667940	51.643
chr3	9768174	51.643
chr3	9768653	51.647
chr3	9798610	52.237
chr3	9798884	52.240
chr3	9820226	52.240
chr3	9820242	52.240
chr3	9890628	52.715
chr3	9939176	52.837
chr3	9990797	52.837
chr3	9991012	53.135
chr3	10014289	53.135
chr3	10041625	53.434
chr3	10146498	53.434
chr3	10160878	53.732
chr3	10541528	53.732
chr4	0	0.000
chr4	265089	0.000
chr4	286004	0.299
chr4	492572	0.299
chr4	530940	0.597
chr4	749877	0.597
chr4	783550	0.762
chr4	831390	2.191
chr4	831657	2.193
chr4	871469	2.685
chr4	871617	2.687
chr4	873641	2.687
chr4	882071	2.985
chr4	906912	2.985
chr4	946276	3.284
chr4	1018001	3.284
chr4	1038986	3.382
chr4	1145296	4.132
chr4	1165019	4.179
chr4	1226303	4.179
chr4	1287376	4.478
chr4	1292426	4.478
chr4	1298722	4.510
chr4	1337534	5.010
chr4	1337968	5.012
chr4	1349950	5.372
chr4	1350012	5.373
chr4	1401934	5.373
chr4	1431528	5.672
chr4	1505501	5.672
chr4	1513838	5.970
chr4	1594938	5.970
chr4	1605248	6.269
chr4	1750183	6.269
chr4	1750270	6.269
chr4	1766390	6.660
chr4	1767185	6.665
chr4	1796459	7.132
chr4	1802074	7.164
chr4	1844968	7.164
chr4	1955458	7.761
chr4	2015600	7.761
chr4	2015662	7.761
chr4	2056297	8.134
chr4	2179266	8.358
chr4	2217078	8.537
chr4	2242453	8.955
chr4	2242566	8.955
chr4	2380942	8.955
chr4	2440967	9.254
chr4	2488108	9.254
chr4	2488136	9.254
chr4	2499704	9.628
chr4	2533663	9.851
chr4	2535161	9.851
chr4	2595537	10.149
chr4	2641742	10.149
chr4	2642073	10.155
chr4	2658463	10.632
chr4	2668671	10.746
chr4	2789997	10.746
chr4	2823619	11.045
chr4	3038354	11.045
chr4	3081181	11.642
chr4	3081229	11.642
chr4	3115358	11.940
chr4	3163983	11.940
chr4	3190049	12.239
chr4	3191535	12.239
chr4	3211863	12.784
chr4	3269243	14.919
chr4	3269478	14.925
chr4	3269489	14.926
chr4	3283364	15.224
chr4	3398619	15.224
chr4	3404642	15.270
chr4	3419257	15.979
chr4	3437647	16.120
chr4	3437895	16.120
chr4	3437918	16.418
chr4	3462961	16.418
chr4	3471339	16.486
chr4	3536569	17.312
chr4	3536828	17.314
chr4	3537051	17.314
chr4	3569158	17.612
chr4	3622393	17.612
chr4	3622431	17.612
chr4	3704927	18.144
chr4	3728076	18.209
chr4	3760483	18.460
chr4	3766610	18.806
chr4	3766649	18.806
chr4	3925868	18.806
chr4	3944715	18.888
chr4	3976038	19.323
chr4	3994655	19.403
chr4	4045033	20.000
chr4	4078517	20.000
chr4	4078536	20.000
chr4	4202385	21.194
chr4	4202427	21.194
chr4	4243431	21.194
chr4	4259255	21.324
chr4	4279273	22.085
chr4	4279826	22.090
chr4	4279847	22.090
chr4	4299972	22.388
chr4	4303495	22.388
chr4	4354876	22.687
chr4	4355238	22.687
chr4	4434245	22.985
chr4	4459165	22.985
chr4	4459481	22.988
chr4	4459544	22.989
chr4	4498352	23.710
chr4	4498376	23.710
chr4	4560026	23.913
chr4	4573736	24.256
chr4	4641344	24.478
chr4	4670325	24.478
chr4	4670382	24.478
chr4	4758500	24.990
chr4	4758628	24.990
chr4	4793638	25.339
chr4	4798293	25.374
chr4	4896199	25.374
chr4	4930175	25.672
chr4	5113848	25.672
chr4	5159069	25.971
chr4	5159827	25.971
chr4	5243876	26.269
chr4	5293166	26.269
chr4	5328393	26.387
chr4	5382241	26.865
chr4	5382512	26.866
chr4	5496410	26.866
chr4	5501976	26.883
chr4	5527532	27.011
chr4	5647147	27.911
chr4	5647217	27.911
chr4	5647354	27.912
chr4	5697223	28.357
chr4	5697581	28.359
chr4	5697607	28.359
chr4	5757092	28.471
chr4	5837953	28.921
chr4	5856268	28.956
chr4	5972182	28.956
chr4	6115736	29.501
chr4	6129300	29.851
chr4	6129323	29.851
chr4	6164588	29.851
chr4	6166678	29.857
chr4	6280353	30.448
chr4	6280403	30.448
chr4	6280426	30.448
chr4	6324705	30.747
chr4	6324901	30.747
chr4	6324993	31.045
chr4	6396211	31.045
chr4	6402236	31.064
chr4	6438021	31.413
chr4	6492014	32.211
chr4	6492348	32.214
chr4	6497398	32.239
chr4	6550093	32.239
chr4	6550329	32.240
chr4	6654818	32.738
chr4	6654819	32.738
chr4	6654904	32.738
chr4	6702735	33.425
chr4	6702879	33.427
chr4	6706397	33.433
chr4	6781329	33.433
chr4	6802927	33.474
chr4	6941132	34.288
chr4	6951094	34.328
chr4	6951302	34.331
chr4	6951373	34.331
chr4	7052799	35.437
chr4	7093803	35.523
chr4	7102583	35.549
chr4	7114462	35.883
chr4	7294580	36.418
chr4	7400966	36.418
chr4	7401468	36.419
chr4	7545579	36.949
chr4	7545595	36.949
chr4	7586802	37.227
chr4	7603641	37.314
chr4	7603671	37.314
chr4	7603692	37.314
chr4	7646868	37.844
chr4	7714888	38.210
chr4	7831580	38.210
chr4	7869991	38.508
chr4	7900647	38.508
chr4	7932707	39.105
chr4	7932994	39.105
chr4	7937348	39.117
chr4	7937659	39.118
chr4	8130165	40.504
chr4	8151900	40.593
chr4	8153763	40.598
chr4	8193814	40.598
chr4	8194103	40.600
chr4	8226574	41.180
chr4	8228259	41.195
chr4	8299356	41.195
chr4	8319129	41.238
chr4	8437116	42.090
chr4	8437129	42.090
chr4	8511658	42.090
chr4	8533260	42.280
chr4	8533265	42.877
chr4	8545648	42.986
chr4	8549013	42.986
chr4	8584534	43.284
chr4	8605538	43.284
chr4	8638546	43.583
chr4	8724221	43.583
chr4	8724496	43.586
chr4	8724574	43.588
chr4	8754403	44.691
chr4	8775124	45.043
chr4	8781186	45.075
chr4	8857714	45.075
chr4	8874622	45.374
chr4	8874941	45.374
chr4	8922933	45.486
chr4	9002636	46.264
chr4	9003356	46.269
chr4	9062879	46.269
chr4	9106245	46.568
chr4	9109366	46.568
chr4	9163601	46.866
chr4	9163840	46.866
chr4	9203062	47.165
chr4	9259777	47.165
chr4	9294296	47.463
chr4	9295977	47.463
chr4	9305452	47.516
chr4	9349898	48.059
chr4	9350079	48.060
chr4	9662098	48.060
chr5	0	0.000
chr5	390157	0.000
chr5	426168	0.597
chr5	440474	0.597
chr5	470839	0.896
chr5	471181	0.896
chr5	471188	0.896
chr5	471275	0.897
chr5	510455	1.644
chr5	523245	1.791
chr5	523258	1.791
chr5	523494	1.791
chr5	532388	2.388
chr5	603225	2.388
chr5	661612	2.985
chr5	774028	2.985
chr5	844873	3.116
chr5	908425	3.533
chr5	924761	3.861
chr5	935121	3.881
chr5	935157	3.881
chr5	996936	4.179
chr5	1059759	4.179
chr5	1092537	4.776
chr5	1146859	4.776
chr5	1147383	5.075
chr5	1211832	5.075
chr5	1237268	5.373
chr5	1435911	5.373
chr5	1452390	5.672
chr5	1452721	5.672
chr5	1495522	5.970
chr5	1560989	5.970
chr5	1606593	6.269
chr5	1607024	6.269
chr5	1644658	6.313
chr5	1705897	6.685
chr5	1858121	6.866
chr5	1880169	6.866
chr5	1887575	6.915
chr5	1914271	7.389
chr5	1925359	7.463
chr5	1925566	7.463
chr5	1950420	7.590
chr5	2042034	8.768
chr5	2066177	8.954
chr5	2066318	8.956
chr5	2131448	9.112
chr5	2190126	9.441
chr5	2225205	9.552
chr5	2235774	9.552
chr5	2286248	10.149
chr5	2286328	10.149
chr5	2294894	10.149
chr5	2340163	10.448
chr5	2417933	10.448
chr5	2525177	10.746
chr5	2773259	10.746
chr5	2841696	11.940
chr5	2882890	11.940
chr5	2924713	11.994
chr5	2953731	12.329
chr5	3019120	12.412
chr5	3019265	12.413
chr5	3083293	14.109
chr5	3091835	14.296
chr5	3110137	14.319
chr5	3117376	14.385
chr5	3124127	14.437
chr5	3186650	15.223
chr5	3186835	15.224
chr5	3199042	15.252
chr5	3289241	16.052
chr5	3319030	16.120
chr5	3319582	16.120
chr5	3356895	16.217
chr5	3362083	16.271
chr5	3433438	17.609
chr5	3433597	17.610
chr5	3433837	17.612
chr5	3434178	17.612
chr5	3473206	18.508
chr5	3562677	18.508
chr5	3562855	18.509
chr5	3574253	18.626
chr5	3599589	19.186
chr5	3678352	19.999
chr5	3678616	20.000
chr5	3678618	20.000
chr5	3736847	20.299
chr5	3759275	20.299
chr5	3810350	20.597
chr5	3810531	20.597
chr5	3814661	20.896
chr5	3819975	20.896
chr5	3926605	21.194
chr5	3926978	21.194
chr5	3965510	21.493
chr5	3965902	21.493
chr5	3982707	22.081
chr5	3982955	22.091
chr5	4082229	22.982
chr5	4082782	22.985
chr5	4082923	22.985
chr5	4083018	22.987
chr5	4106430	23.341
chr5	4181535	23.525
chr5	4204787	23.880
chr5	4205044	23.881
chr5	4205347	23.881
chr5	4250919	24.179
chr5	4251429	24.179
chr5	4291880	25.075
chr5	4291922	25.075
chr5	4362589	25.653
chr5	4437778	26.806
chr5	4446108	26.866
chr5	4446173	26.866
chr5	4593403	27.463
chr5	4610578	27.463
chr5	4666199	27.761
chr5	4757937	27.761
chr5	4772429	28.359
chr5	4797589	28.359
chr5	4868162	28.657
chr5	4868211	28.657
chr5	4994064	29.136
chr5	5028452	29.566
chr5	5028781	29.567
chr5	5103190	30.149
chr5	5103278	30.150
chr5	5344811	30.150
chr5	5355318	30.191
chr5	5371144	30.851
chr5	5371323	30.851
chr5	5376641	31.171
chr5	5420259	31.344
chr5	5542366	31.344
chr5	5624691	31.642
chr5	5624731	31.642
chr5	5719379	31.941
chr5	5719643	31.941
chr5	5719661	31.941
chr5	5743242	32.407
chr5	5761531	32.538
chr5	5761567	32.538
chr5	5824988	32.836
chr5	5825633	32.836
chr5	5852113	33.135
chr5	5862091	33.135
chr5	5880249	33.433
chr5	6039932	33.433
chr5	6092781	33.732
chr5	6191955	34.030
chr5	6250005	34.030
chr5	6258807	34.146
chr5	6272618	34.521
chr5	6280220	34.627
chr5	6291450	34.627
chr5	6364092	34.926
chr5	6368322	34.926
chr5	6394595	35.034
chr5	6412391	35.704
chr5	6440799	35.821
chr5	6489480	35.821
